#{"t_start": 1565909470.099146, "env_id": null}
r,l,t
211.920328,1000,22.494665
215.264456,1000,22.494668
235.011792,1000,22.494726
304.051445,1000,22.494825
186.344431,1000,36.613702
156.453886,1000,36.61471
102.210635,1000,36.616453
219.293723,1000,36.617838
235.219243,1000,51.119146
199.928833,1000,51.119709
170.136551,1000,51.119732
174.853074,1000,51.121553
299.851674,1000,65.62501
282.880522,1000,65.625675
236.718908,1000,65.627496
235.608089,1000,65.628052
223.266712,1000,80.36024
208.365509,1000,80.363221
101.915346,1000,80.363221
258.08207,1000,80.370448
195.450147,1000,94.47811
205.769097,1000,94.479261
300.742251,1000,94.480306
247.294659,1000,94.48741
273.000431,1000,109.024962
233.545053,1000,109.027462
264.643785,1000,109.027496
211.338615,1000,109.031372
270.674545,1000,123.198117
250.870079,1000,123.200853
227.748823,1000,123.200937
250.025349,1000,123.206725
104.499226,1000,137.417976
205.604096,1000,137.419325
196.571663,1000,137.420292
159.317762,1000,137.421528
342.388002,1000,151.870782
187.617643,1000,151.871558
163.450805,1000,151.871753
259.977229,1000,151.873032
137.037886,1000,166.221614
180.791093,1000,166.221922
198.291799,1000,166.222588
262.847944,1000,166.225041
244.442199,1000,180.587896
189.540121,1000,180.589821
247.018391,1000,180.591871
201.898054,1000,180.597494
334.459677,1000,195.189002
363.745748,1000,195.189629
408.840734,1000,195.190785
305.825893,1000,195.192169
320.547497,1000,209.909756
306.334214,1000,209.911163
329.171105,1000,209.912619
282.573238,1000,209.912678
276.349714,1000,224.624181
211.034445,1000,224.624484
254.192337,1000,224.624625
332.416091,1000,224.625555
120.517678,1000,238.787937
237.911412,1000,238.788434
290.570197,1000,238.788986
315.336899,1000,238.789847
238.506674,1000,253.308277
186.821203,1000,253.309004
312.524923,1000,253.309202
275.513156,1000,253.309984
167.30199,1000,268.001719
119.554057,1000,268.001991
261.312114,1000,268.002166
288.501524,1000,268.002475
167.814041,1000,282.9169
163.029637,1000,282.917972
256.020906,1000,282.918308
289.926329,1000,282.92265
