#{"t_start": 1565937205.1020954, "env_id": null}
r,l,t
414.114323,1000,24.753225
362.381909,1000,24.753435
465.842701,1000,24.753561
61.593021,1000,24.754189
353.885987,1000,24.754382
384.739885,1000,24.75438
148.9346,1000,24.754848
416.435943,1000,24.757348
267.166698,1000,41.842518
102.121067,1000,41.842601
154.826302,1000,41.842633
369.769591,1000,41.842633
462.197846,1000,41.842803
438.423332,1000,41.84291
413.853524,1000,41.843058
401.079211,1000,41.844928
425.48197,1000,58.363079
457.496546,1000,58.364437
390.274593,1000,58.364437
431.162439,1000,58.364473
423.431297,1000,58.3645
477.600326,1000,58.364853
431.112443,1000,58.365851
481.820026,1000,58.367754
437.023321,1000,75.121404
399.114312,1000,75.121619
471.814023,1000,75.121794
432.973298,1000,75.122185
449.484596,1000,75.123021
444.143591,1000,75.123499
438.595472,1000,75.123602
409.383214,1000,75.124634
402.910804,1000,92.35046
245.966643,1000,92.351269
418.159644,1000,92.351574
379.962182,1000,92.351784
372.576693,1000,92.351892
351.375239,1000,92.352176
368.737515,1000,92.352675
370.15351,1000,92.357178
289.369319,1000,108.500883
202.143659,1000,108.502701
325.376348,1000,108.502722
371.602909,1000,108.503079
258.801993,1000,108.503296
326.863282,1000,108.504732
334.196186,1000,108.505621
290.346227,1000,108.506755
434.355319,1000,125.54213
417.706569,1000,125.542284
397.301974,1000,125.54251
365.08496,1000,125.542637
361.675137,1000,125.543176
375.818881,1000,125.543209
385.199944,1000,125.54346
386.503085,1000,125.543668
472.766286,1000,142.6544
498.558734,1000,142.655653
446.375535,1000,142.65641
575.275428,1000,142.656523
490.883472,1000,142.656777
190.112176,1000,142.65685
481.613169,1000,142.658217
418.02473,1000,142.660363
522.784979,1000,159.533129
590.879989,1000,159.533336
562.613941,1000,159.533407
383.959827,1000,159.533559
629.582728,1000,159.533788
491.393488,1000,159.533834
199.679127,1000,159.534049
401.903694,1000,159.534215
426.38407,1000,176.590246
460.371115,1000,176.590611
75.951772,1000,176.590624
373.90565,1000,176.590796
350.896013,1000,176.59102
353.69596,1000,176.591537
481.167638,1000,176.592029
428.818917,1000,176.592092
492.1317,1000,192.976039
198.069265,1000,192.977354
454.437866,1000,192.977768
484.244587,1000,192.97779
331.447026,1000,192.978066
203.048363,1000,192.978244
501.421126,1000,192.979224
393.242667,1000,192.982694
505.905259,1000,210.273993
554.295221,1000,210.274246
458.047966,1000,210.274346
532.370331,1000,210.275017
518.512616,1000,210.275101
544.036913,1000,210.275266
448.942014,1000,210.275599
410.458531,1000,210.276167
543.1409,1000,227.241147
437.400138,1000,227.243271
404.194842,1000,227.243597
346.419462,1000,227.243597
456.521165,1000,227.244062
461.820673,1000,227.244266
488.595673,1000,227.244892
452.142402,1000,227.247867
608.17043,1000,244.526248
505.978947,1000,244.527898
528.49938,1000,244.528121
538.813326,1000,244.528801
460.188503,1000,244.5288
566.357377,1000,244.529793
514.702607,1000,244.530482
519.938617,1000,244.537863
478.297961,1000,261.709661
545.871683,1000,261.709659
538.529808,1000,261.709843
556.895978,1000,261.710384
474.36273,1000,261.710566
163.438086,1000,261.710855
432.78974,1000,261.711012
471.001626,1000,261.713566
394.206001,1000,277.875196
471.85315,1000,277.875335
502.282129,1000,277.875358
456.183065,1000,277.875942
822.925361,1000,277.876523
514.822092,1000,277.876524
523.515595,1000,277.876911
516.106038,1000,277.87745
549.092882,1000,294.826513
511.34844,1000,294.826639
496.517996,1000,294.826755
521.331052,1000,294.827536
484.326578,1000,294.8276
563.026161,1000,294.828328
580.469939,1000,294.828489
503.567757,1000,294.832516
448.040613,1000,311.343423
394.689571,1000,311.343503
467.098662,1000,311.343713
412.782,1000,311.343773
396.906373,1000,311.344206
471.746525,1000,311.344463
386.301548,1000,311.345192
457.434919,1000,311.346676
513.241475,1000,327.941583
482.501834,1000,327.941728
632.903617,1000,327.941761
586.036981,1000,327.942008
427.323972,1000,327.942208
575.586178,1000,327.942718
478.57582,1000,327.943638
570.498685,1000,327.944091
486.816206,1000,344.738955
598.601646,1000,344.741777
366.333372,1000,344.742002
498.44112,1000,344.74201
506.213449,1000,344.742681
532.32341,1000,344.743658
518.512304,1000,344.744171
596.488925,1000,344.747816
520.016186,1000,361.387144
524.097243,1000,361.39002
587.357416,1000,361.390022
534.599378,1000,361.390048
469.116527,1000,361.390049
543.842472,1000,361.391541
455.18386,1000,361.391727
544.591233,1000,361.396577
513.765999,1000,377.371797
597.414827,1000,377.373011
663.431439,1000,377.373177
513.052305,1000,377.373812
529.638925,1000,377.374104
547.066463,1000,377.37439
504.062045,1000,377.374815
535.389329,1000,377.378344
628.586878,1000,393.99862
587.404031,1000,394.001422
633.294159,1000,394.001704
588.34862,1000,394.001775
625.188859,1000,394.001811
556.838909,1000,394.00409
580.155756,1000,394.00416
565.629704,1000,394.007714
646.424444,1000,410.806684
625.211577,1000,410.809379
647.997214,1000,410.809819
531.852825,1000,410.809874
602.491486,1000,410.809977
594.442204,1000,410.810531
583.155502,1000,410.810861
608.377658,1000,410.815861
538.309023,1000,427.286014
624.98759,1000,427.286499
544.855699,1000,427.286625
598.215803,1000,427.286699
605.364997,1000,427.286964
561.993094,1000,427.286977
593.365387,1000,427.288273
499.707216,1000,427.288623
440.690068,1000,443.52244
380.487154,1000,443.524058
386.233333,1000,443.524235
323.345895,1000,443.524235
468.01387,1000,443.524267
342.869211,1000,443.524286
558.273474,1000,443.526036
393.927436,1000,443.52784
490.059958,1000,459.886679
574.410304,1000,459.888351
514.416904,1000,459.889079
586.99265,1000,459.889447
616.166044,1000,459.88958
556.224949,1000,459.889587
562.336114,1000,459.889646
575.89774,1000,459.89227
431.380059,1000,476.725708
395.188793,1000,476.727791
351.054548,1000,476.727893
462.184506,1000,476.728051
524.936549,1000,476.728119
611.59415,1000,476.72859
517.066224,1000,476.730065
381.030334,1000,476.731583
553.590927,1000,494.100662
579.590275,1000,494.103254
613.798868,1000,494.104116
581.486964,1000,494.105139
595.78346,1000,494.105269
617.112928,1000,494.105653
655.184823,1000,494.105668
577.733443,1000,494.110124
676.977314,1000,511.188416
690.627023,1000,511.19037
670.317133,1000,511.190756
658.704043,1000,511.190999
601.859348,1000,511.191489
681.009346,1000,511.192366
660.894554,1000,511.193323
614.495519,1000,511.201163
491.920549,1000,528.030012
553.493919,1000,528.032938
586.383651,1000,528.033304
590.662585,1000,528.03371
652.460788,1000,528.034046
589.433515,1000,528.03405
555.67501,1000,528.034437
595.220904,1000,528.04129
461.958501,1000,543.933268
495.232409,1000,543.933292
399.805334,1000,543.933311
491.134694,1000,543.933605
383.82493,1000,543.933747
490.542815,1000,543.934431
504.988009,1000,543.934681
366.650887,1000,543.93543
592.421207,1000,561.096483
538.337073,1000,561.096716
544.564073,1000,561.096753
551.326731,1000,561.096753
638.569713,1000,561.09708
557.966011,1000,561.097409
518.332702,1000,561.097989
572.671382,1000,561.098315
675.001237,1000,578.588511
600.371551,1000,578.591428
626.493243,1000,578.591718
638.969582,1000,578.591935
604.293472,1000,578.59227
616.107273,1000,578.593825
605.571305,1000,578.593901
634.604984,1000,578.597605
636.978516,1000,595.923926
584.006534,1000,595.926496
628.754406,1000,595.926546
649.497698,1000,595.926734
579.665288,1000,595.928006
655.986234,1000,595.928191
622.71619,1000,595.928963
577.352591,1000,595.936721
503.655306,1000,612.673677
639.563953,1000,612.673677
577.392686,1000,612.673826
599.459702,1000,612.673922
597.244395,1000,612.674904
635.963608,1000,612.675459
